"Country","ID","OfficialName","OfficialSurname","GoalScored","Role"
"England",250010259,"Kyle","Walker",0,"Defender"
"England",250010260,"Jordan","Henderson",0,"Midfield"
"England",250000919,"Kieran","Trippier",0,"Defender"
"England",250014517,"Conor","Coady",0,"Defender"
"England",250024795,"Raheem","Sterling",1,"Forward"
"England",250042329,"Jack","Grealish",0,"Midfield"
"England",250042705,"Luke","Shaw",0,"Defender"
"England",250016833,"Harry","Kane",0,"Forward"
"England",250064233,"John","Stones",0,"Defender"
"England",250075007,"Harry","Maguire",0,"Defender"
"England",250076240,"Mason","Mount",0,"Midfield"
"England",250101534,"Phil","Foden",0,"Midfield"
"England",250102216,"Jadon","Sancho",0,"Midfield"
"England",250106939,"Bukayo","Saka",0,"Midfield"
"England",250110362,"Reece","James",0,"Defender"
"England",250111030,"Dominic","Calvert-Lewin",0,"Forward"
"England",250078763,"Ben","Chilwell",0,"Defender"
"England",250083732,"Declan","Rice",0,"Midfield"
"England",250088246,"Marcus","Rashford",0,"Forward"
"England",250128377,"Jude","Bellingham",0,"Midfield"
"England",250133856,"Tyrone","Mings",0,"Defender"
"England",250143242,"Kalvin","Phillips",0,"Midfield"
"England",250156002,"Ben","White",0,"Defender"
"England",250000919,"Kieran","Trippier",0,"Defender"
"England",250010259,"Kyle","Walker",0,"Defender"
"England",250010260,"Jordan","Henderson",0,"Midfield"
"England",250014517,"Conor","Coady",0,"Defender"
"England",250016833,"Harry","Kane",0,"Forward"
"England",250024795,"Raheem","Sterling",0,"Forward"
"England",250042705,"Luke","Shaw",0,"Defender"
"England",250064233,"John","Stones",0,"Defender"
"England",250042329,"Jack","Grealish",0,"Midfield"
"England",250075007,"Harry","Maguire",0,"Defender"
"England",250076240,"Mason","Mount",0,"Midfield"
"England",250078763,"Ben","Chilwell",0,"Defender"
"England",250083732,"Declan","Rice",0,"Midfield"
"England",250088246,"Marcus","Rashford",0,"Forward"
"England",250101534,"Phil","Foden",0,"Midfield"
"England",250102216,"Jadon","Sancho",0,"Midfield"
"England",250106939,"Bukayo","Saka",0,"Midfield"
"England",250110362,"Reece","James",0,"Defender"
"England",250111030,"Dominic","Calvert-Lewin",0,"Forward"
"England",250128377,"Jude","Bellingham",0,"Midfield"
"England",250133856,"Tyrone","Mings",0,"Defender"
"England",250143242,"Kalvin","Phillips",0,"Midfield"
"England",250156002,"Ben","White",0,"Defender"
"England",250128377,"Jude","Bellingham",0,"Midfield"
"England",250133856,"Tyrone","Mings",0,"Defender"
"England",250143242,"Kalvin","Phillips",0,"Midfield"
"England",250156002,"Ben","White",0,"Defender"
"England",250101534,"Phil","Foden",0,"Midfield"
"England",250102216,"Jadon","Sancho",0,"Forward"
"England",250106939,"Bukayo","Saka",0,"Midfield"
"England",250110362,"Reece","James",0,"Defender"
"England",250111030,"Dominic","Calvert-Lewin",0,"Forward"
"England",250083732,"Declan","Rice",0,"Midfield"
"England",250088246,"Marcus","Rashford",0,"Forward"
"England",250075007,"Harry","Maguire",1,"Defender"
"England",250076240,"Mason","Mount",0,"Midfield"
"England",250078763,"Ben","Chilwell",0,"Defender"
"England",250042329,"Jack","Grealish",0,"Midfield"
"England",250042705,"Luke","Shaw",0,"Defender"
"England",250064233,"John","Stones",0,"Defender"
"England",250024795,"Raheem","Sterling",3,"Forward"
"England",250014517,"Conor","Coady",0,"Defender"
"England",250016833,"Harry","Kane",3,"Forward"
"England",250010259,"Kyle","Walker",0,"Defender"
"England",250010260,"Jordan","Henderson",1,"Midfield"
"England",250000919,"Kieran","Trippier",0,"Defender"
"England",250000919,"Kieran","Trippier",0,"Defender"
"England",250010259,"Kyle","Walker",0,"Defender"
"England",250010260,"Jordan","Henderson",0,"Midfield"
"England",250014517,"Conor","Coady",0,"Defender"
"England",250016833,"Harry","Kane",0,"Forward"
"England",250024795,"Raheem","Sterling",2,"Forward"
"England",250042329,"Jack","Grealish",0,"Midfield"
"England",250042705,"Luke","Shaw",0,"Defender"
"England",250088246,"Marcus","Rashford",0,"Forward"
"England",250101534,"Phil","Foden",0,"Midfield"
"England",250102216,"Jadon","Sancho",0,"Midfield"
"England",250106939,"Bukayo","Saka",0,"Midfield"
"England",250110362,"Reece","James",0,"Defender"
"England",250111030,"Dominic","Calvert-Lewin",0,"Forward"
"England",250075007,"Harry","Maguire",0,"Defender"
"England",250076240,"Mason","Mount",0,"Midfield"
"England",250078763,"Ben","Chilwell",0,"Defender"
"England",250083732,"Declan","Rice",0,"Midfield"
"England",250128377,"Jude","Bellingham",0,"Midfield"
"England",250133856,"Tyrone","Mings",0,"Defender"
"England",250143242,"Kalvin","Phillips",0,"Midfield"
"England",250156002,"Ben","White",0,"Defender"
"England",250064233,"John","Stones",0,"Defender"
"England",250000919,"Kieran","Trippier",0,"Defender"
"England",250010259,"Kyle","Walker",0,"Defender"
"England",250010260,"Jordan","Henderson",0,"Midfield"
"England",250024795,"Raheem","Sterling",1,"Forward"
"England",250042329,"Jack","Grealish",0,"Midfield"
"England",250042705,"Luke","Shaw",0,"Defender"
"England",250064233,"John","Stones",0,"Defender"
"England",250014517,"Conor","Coady",0,"Defender"
"England",250016833,"Harry","Kane",0,"Forward"
"England",250075007,"Harry","Maguire",0,"Defender"
"England",250076240,"Mason","Mount",0,"Midfield"
"England",250078763,"Ben","Chilwell",0,"Defender"
"England",250083732,"Declan","Rice",0,"Midfield"
"England",250088246,"Marcus","Rashford",0,"Forward"
"England",250101534,"Phil","Foden",0,"Midfield"
"England",250102216,"Jadon","Sancho",0,"Midfield"
"England",250106939,"Bukayo","Saka",0,"Midfield"
"England",250110362,"Reece","James",0,"Defender"
"England",250111030,"Dominic","Calvert-Lewin",0,"Forward"
"England",250128377,"Jude","Bellingham",0,"Midfield"
"England",250133856,"Tyrone","Mings",0,"Defender"
"England",250143242,"Kalvin","Phillips",0,"Midfield"
"England",250156002,"Ben","White",0,"Defender"
"England",250000919,"Kieran","Trippier",0,"Defender"
"England",250010259,"Kyle","Walker",0,"Defender"
"England",250010260,"Jordan","Henderson",1,"Midfield"
"England",250014517,"Conor","Coady",0,"Defender"
"England",250016833,"Harry","Kane",4,"Forward"
"England",250024795,"Raheem","Sterling",3,"Forward"
"England",250042329,"Jack","Grealish",0,"Midfield"
"England",250042705,"Luke","Shaw",0,"Defender"
"England",250064233,"John","Stones",0,"Defender"
"England",250075007,"Harry","Maguire",1,"Defender"
"England",250076240,"Mason","Mount",0,"Midfield"
"England",250078763,"Ben","Chilwell",0,"Defender"
"England",250083732,"Declan","Rice",0,"Midfield"
"England",250088246,"Marcus","Rashford",0,"Forward"
"England",250106939,"Bukayo","Saka",0,"Midfield"
"England",250110362,"Reece","James",0,"Defender"
"England",250111030,"Dominic","Calvert-Lewin",0,"Forward"
"England",250101534,"Phil","Foden",0,"Midfield"
"England",250102216,"Jadon","Sancho",0,"Forward"
"England",250128377,"Jude","Bellingham",0,"Midfield"
"England",250133856,"Tyrone","Mings",0,"Defender"
"England",250143242,"Kalvin","Phillips",0,"Midfield"
"England",250156002,"Ben","White",0,"Defender"
"England",250000919,"Kieran","Trippier",0,"Defender"
"England",250010259,"Kyle","Walker",0,"Defender"
"England",250010260,"Jordan","Henderson",0,"Midfield"
"England",250014517,"Conor","Coady",0,"Defender"
"England",250016833,"Harry","Kane",1,"Forward"
"England",250024795,"Raheem","Sterling",3,"Forward"
"England",250042705,"Luke","Shaw",0,"Defender"
"England",250042329,"Jack","Grealish",0,"Midfield"
"England",250064233,"John","Stones",0,"Defender"
"England",250075007,"Harry","Maguire",0,"Defender"
"England",250076240,"Mason","Mount",0,"Midfield"
"England",250078763,"Ben","Chilwell",0,"Defender"
"England",250083732,"Declan","Rice",0,"Midfield"
"England",250101534,"Phil","Foden",0,"Midfield"
"England",250102216,"Jadon","Sancho",0,"Midfield"
"England",250106939,"Bukayo","Saka",0,"Midfield"
"England",250110362,"Reece","James",0,"Defender"
"England",250111030,"Dominic","Calvert-Lewin",0,"Forward"
"England",250088246,"Marcus","Rashford",0,"Forward"
"England",250128377,"Jude","Bellingham",0,"Midfield"
"England",250133856,"Tyrone","Mings",0,"Defender"
"England",250143242,"Kalvin","Phillips",0,"Midfield"
"England",250156002,"Ben","White",0,"Defender"
