"ID","OfficialSurname","OfficialName","GoalScored","TotalAssists","TotalAttempts","PassesCompleted","TacklesWon","TacklesLost","Attemptsontarget","PlayedTime"
250000919,"Trippier","Kieran",0,7,7,896,21,14,21,14
250010259,"Walker","Kyle",0,0,0,2226,0,28,0,28
250010260,"Henderson","Jordan",2,0,7,693,7,0,7,0
250014517,"Coady","Conor",0,0,0,0,0,0,0,0
250016833,"Kane","Harry",8,0,105,777,14,7,14,7
250024795,"Sterling","Raheem",13,7,98,1148,0,0,0,0
250042329,"Grealish","Jack",0,14,14,441,7,7,7,7
250042705,"Shaw","Luke",0,21,21,2016,35,28,35,28
250064233,"Stones","John",0,0,35,3164,7,14,7,14
250075007,"Maguire","Harry",2,0,56,2387,28,14,28,14
250076240,"Mount","Mason",0,7,49,1071,7,7,7,7
250078763,"Chilwell","Ben",0,0,0,0,0,0,0,0
250083732,"Rice","Declan",0,0,7,2107,49,21,49,21
250088246,"Rashford","Marcus",0,0,0,217,0,0,0,0
250101534,"Foden","Phil",0,0,14,448,0,0,0,0
250102216,"Sancho","Jadon",0,0,0,301,0,0,0,0
250106939,"Saka","Bukayo",0,7,0,497,7,0,7,0
250110362,"James","Reece",0,0,7,588,0,0,0,0
250111030,"Calvert-Lewin","Dominic",0,0,0,14,0,0,0,0
250128377,"Bellingham","Jude",0,0,0,140,7,7,7,7
250133856,"Mings","Tyrone",0,0,0,833,7,21,7,21
250143242,"Phillips","Kalvin",0,7,28,2114,63,28,63,28
250156002,"White","Ben",0,0,0,0,0,0,0,0
